run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T132604766427,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E01_company_source_policy,False,wrong_tool,,policy,policy,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E02_company_data_privacy,False,wrong_tool,,policy,policy,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E03_company_telegram_approval,False,wrong_tool,,policy,policy,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E04_arxiv_search_topic,False,wrong_tool,,papers,papers,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E05_arxiv_paper_text,False,wrong_tool,wrong_arg_value,paper_text,paper_text,False,True,False,"arxiv_url: expected '1706.03762', got 'https://arxiv.org/abs/1706.03762'"
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E06_briefing_live_plus_style,False,wrong_tool,,lookup|policy,policy|lookup,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E07_paper_scan_template_plus_arxiv,False,wrong_tool,,papers|policy,papers|policy,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E08_specific_url_not_arxiv,False,wrong_tool,,fetch|policy,fetch|policy,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E09_two_links_parallel,False,wrong_tool,,fetch|fetch,fetch|fetch,True,True,True,
v10_B_extension_openrouter_20260602T143418862740,v10,v10+pdb417f6d2ca0+te72eb196734a,extension,E10_arxiv_research_search,False,wrong_tool,,papers,papers,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v11_B_base_openrouter_20260602T143809495210,v11,v11+pc63c2dcb7c75+tff6c06fb8791,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v11_B_cross_openrouter_20260602T143655263837,v11,v11+pc63c2dcb7c75+tff6c06fb8791,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v11_B_cross_openrouter_20260602T143655263837,v11,v11+pc63c2dcb7c75+tff6c06fb8791,cross,W02_rank_sources,False,wrong_tool,extra_tool_call,rank_sources,rank_sources|source_audit,False,False,False,extra tool call source_audit
v11_B_cross_openrouter_20260602T143655263837,v11,v11+pc63c2dcb7c75+tff6c06fb8791,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v11_B_cross_openrouter_20260602T143655263837,v11,v11+pc63c2dcb7c75+tff6c06fb8791,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v11_B_cross_openrouter_20260602T143655263837,v11,v11+pc63c2dcb7c75+tff6c06fb8791,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E01_company_source_policy,False,wrong_tool,,policy,policy,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E02_company_data_privacy,False,wrong_tool,,policy,policy,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E03_company_telegram_approval,False,wrong_tool,,policy,policy,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E04_arxiv_search_topic,False,wrong_tool,,papers,papers,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E05_arxiv_paper_text,False,wrong_tool,,paper_text,paper_text,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E06_briefing_live_plus_style,False,wrong_tool,,lookup|policy,policy|lookup,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E07_paper_scan_template_plus_arxiv,False,wrong_tool,,papers|policy,papers|policy,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E08_specific_url_not_arxiv,False,wrong_tool,,fetch|policy,fetch|policy,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E09_two_links_parallel,False,wrong_tool,,fetch|fetch,fetch|fetch,True,True,True,
v11_B_extension_openrouter_20260602T143613328549,v11,v11+pc63c2dcb7c75+tff6c06fb8791,extension,E10_arxiv_research_search,False,wrong_tool,,papers,papers,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G01_timeline_handle_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G02_social_latest,False,wrong_arg_value,,social_search,social_search,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G03_lookup_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G04_explicit_source_audit,False,wrong_tool,,source_audit,source_audit,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G05_send_requires_confirmation,False,wrong_boundary,,clarify,clarify,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G06_multiturn_account_and_limit_override,True,wrong_arg_value,,timeline,timeline,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G07_multiturn_news_carryover,True,wrong_arg_value,,lookup,lookup,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G08_multiturn_fill_url,True,missing_info,,fetch,fetch,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G09_multiturn_switch_to_social_top,True,wrong_tool,,social_search,social_search,True,True,True,
v11_B_group_openrouter_20260602T143721240371,v11,v11+pc63c2dcb7c75+tff6c06fb8791,group,G10_multiturn_collect_sources_for_audit,True,wrong_arg_value,,source_audit,source_audit,True,True,True,
v12_B_cross_openrouter_20260602T143918451563,v12,v12+p0d84ba849ba2+tc25343110803,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v12_B_cross_openrouter_20260602T143918451563,v12,v12+p0d84ba849ba2+tc25343110803,cross,W02_rank_sources,False,wrong_tool,,rank_sources,rank_sources,True,True,True,
v12_B_cross_openrouter_20260602T143918451563,v12,v12+p0d84ba849ba2+tc25343110803,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v12_B_cross_openrouter_20260602T143918451563,v12,v12+p0d84ba849ba2+tc25343110803,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v12_B_cross_openrouter_20260602T143918451563,v12,v12+p0d84ba849ba2+tc25343110803,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v12_B_cross_openrouter_20260602T143920013074,v12,v12+p0d84ba849ba2+tc25343110803,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v12_B_cross_openrouter_20260602T143920013074,v12,v12+p0d84ba849ba2+tc25343110803,cross,W02_rank_sources,False,wrong_tool,extra_tool_call,rank_sources,rank_sources|source_audit,False,False,False,extra tool call source_audit
v12_B_cross_openrouter_20260602T143920013074,v12,v12+p0d84ba849ba2+tc25343110803,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v12_B_cross_openrouter_20260602T143920013074,v12,v12+p0d84ba849ba2+tc25343110803,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v12_B_cross_openrouter_20260602T143920013074,v12,v12+p0d84ba849ba2+tc25343110803,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v12_B_cross_openrouter_20260602T144006629379,v12,v12+p0d84ba849ba2+tc25343110803,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v12_B_cross_openrouter_20260602T144006629379,v12,v12+p0d84ba849ba2+tc25343110803,cross,W02_rank_sources,False,wrong_tool,extra_tool_call,rank_sources,rank_sources|source_audit,False,False,False,extra tool call source_audit
v12_B_cross_openrouter_20260602T144006629379,v12,v12+p0d84ba849ba2+tc25343110803,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v12_B_cross_openrouter_20260602T144006629379,v12,v12+p0d84ba849ba2+tc25343110803,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v12_B_cross_openrouter_20260602T144006629379,v12,v12+p0d84ba849ba2+tc25343110803,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v12_B_cross_openrouter_20260602T144008171695,v12,v12+p0d84ba849ba2+tc25343110803,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v12_B_cross_openrouter_20260602T144008171695,v12,v12+p0d84ba849ba2+tc25343110803,cross,W02_rank_sources,False,wrong_tool,extra_tool_call,rank_sources,rank_sources|source_audit,False,False,False,extra tool call source_audit
v12_B_cross_openrouter_20260602T144008171695,v12,v12+p0d84ba849ba2+tc25343110803,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v12_B_cross_openrouter_20260602T144008171695,v12,v12+p0d84ba849ba2+tc25343110803,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v12_B_cross_openrouter_20260602T144008171695,v12,v12+p0d84ba849ba2+tc25343110803,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v13_B_base_openrouter_20260602T144844882893,v13,v13+pcd65ab4c08d3+tf9ba3065d134,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v13_B_cross_openrouter_20260602T144124929198,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144124929198,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144124929198,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,extra_tool_call,extract_citations,extract_citations|extract_citations,False,False,False,extra tool call extract_citations
v13_B_cross_openrouter_20260602T144124929198,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144124929198,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_cross_openrouter_20260602T144124978619,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144124978619,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144124978619,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,extra_tool_call,extract_citations,extract_citations|extract_citations,False,False,False,extra tool call extract_citations
v13_B_cross_openrouter_20260602T144124978619,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144124978619,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_cross_openrouter_20260602T144247081618,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144247081618,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144247081618,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,extra_tool_call,extract_citations,extract_citations|extract_citations|extract_citations,False,False,False,extra tool call extract_citations; extra tool call extract_citations
v13_B_cross_openrouter_20260602T144247081618,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144247081618,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_cross_openrouter_20260602T144247675039,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144247675039,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144247675039,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,extra_tool_call,extract_citations,extract_citations|extract_citations|extract_citations,False,False,False,extra tool call extract_citations; extra tool call extract_citations
v13_B_cross_openrouter_20260602T144247675039,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144247675039,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_cross_openrouter_20260602T144411872224,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144411872224,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144411872224,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v13_B_cross_openrouter_20260602T144411872224,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144411872224,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_cross_openrouter_20260602T144413770977,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W01_dedupe_sources,False,wrong_tool,,dedupe_sources,dedupe_sources,True,True,True,
v13_B_cross_openrouter_20260602T144413770977,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W02_rank_sources,False,wrong_tool,,rank_sources|source_audit,source_audit|rank_sources,True,True,True,
v13_B_cross_openrouter_20260602T144413770977,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W03_extract_citations,False,wrong_tool,,extract_citations,extract_citations,True,True,True,
v13_B_cross_openrouter_20260602T144413770977,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W04_claim_matrix,False,wrong_tool,,claim_matrix,claim_matrix,True,True,True,
v13_B_cross_openrouter_20260602T144413770977,v13,v13+pcd65ab4c08d3+tf9ba3065d134,cross,W05_briefing_outline,False,wrong_tool,,briefing_outline,briefing_outline,True,True,True,
v13_B_extension_openrouter_20260602T144608279648,v13,v13+pcd65ab4c08d3+tf9ba3065d134,extension,E01_company_source_policy,False,wrong_tool,,policy,policy,True,True,True,
v13_B_extension_openrouter_20260602T144608279648,v13,v13+pcd65ab4c08d3+tf9ba3065d134,extension,E02_company_data_privacy,False,wrong_tool,,policy,policy,True,True,True,
v13_B_extension_openrouter_20260602T144608279648,v13,v13+pcd65ab4c08d3+tf9ba3065d134,extension,E03_company_telegram_approval,False,wrong_tool,,policy,policy,True,True,True,
v13_B_extension_openrouter_20260602T144608279648,v13,v13+pcd65ab4c08d3+tf9ba3065d134,extension,E04_arxiv_search_topic,False,wrong_tool,,papers,papers,True,True,True,
